symbol,side,v1_buy,v1_sell,v2_buy,v2_sell,v2_confidence,v2_pair_edge,v1_direction,v2_direction,agreement,score_gap_buy,score_gap_sell
USDCAD,buy,16,14,18,12,0.33,2,neutral,buy,False,2,2
EURGBP,sell,16,14,18,12,0.33,2,neutral,buy,False,2,2
GBPJPY,buy,16,14,18,12,0.33,2,neutral,buy,False,2,2
CHFJPY,buy,16,14,18,12,0.33,2,neutral,buy,False,2,2
GBPCHF,buy,16,14,18,12,0.33,2,neutral,buy,False,2,2
EURUSD,sell,16,14,18,12,0.33,2,neutral,buy,False,2,2
XAGUSD,sell,16,14,18,12,0.33,2,neutral,buy,False,2,2
AUDCHF,buy,16,14,18,12,0.33,2,neutral,buy,False,2,2
USDCHF,buy,16,14,18,12,0.33,2,neutral,buy,False,2,2
USDJPY,buy,16,14,18,12,0.33,2,neutral,buy,False,2,2
GBPNZD,buy,16,14,18,12,0.33,2,neutral,buy,False,2,2
AUDNZD,buy,16,14,18,12,0.33,2,neutral,buy,False,2,2
EURCAD,sell,16,14,18,12,0.33,2,neutral,buy,False,2,2
GBPAUD,sell,16,14,18,12,0.33,2,neutral,buy,False,2,2
CADJPY,buy,16,14,18,12,0.33,2,neutral,buy,False,2,2
NZDUSD,stand_aside,16,14,18,12,0.33,2,neutral,buy,False,2,2
AUDUSD,stand_aside,16,14,18,12,0.33,2,neutral,buy,False,2,2
AUDCAD,stand_aside,16,14,18,12,0.33,2,neutral,buy,False,2,2
GBPUSD,stand_aside,16,14,18,12,0.33,2,neutral,buy,False,2,2
EURAUD,stand_aside,16,14,18,12,0.33,2,neutral,buy,False,2,2
AUDJPY,stand_aside,16,14,18,12,0.33,2,neutral,buy,False,2,2
EURCHF,stand_aside,16,14,18,12,0.33,2,neutral,buy,False,2,2
EURNZD,stand_aside,16,14,18,12,0.33,2,neutral,buy,False,2,2
NZDJPY,stand_aside,16,14,18,12,0.33,2,neutral,buy,False,2,2
EURJPY,stand_aside,16,14,18,12,0.33,2,neutral,buy,False,2,2
XAUUSD,sell,16,14,18,12,0.33,2,neutral,buy,False,2,2
AUDAUC,stand_aside,,,,,,,unknown,unknown,True,,
CADCAC,stand_aside,,,,,,,unknown,unknown,True,,
CHFCHC,stand_aside,,,,,,,unknown,unknown,True,,
EUREUC,stand_aside,,,,,,,unknown,unknown,True,,
GBPGBC,stand_aside,,,,,,,unknown,unknown,True,,
USDAUC,stand_aside,,,,,,,unknown,unknown,True,,
USDCAC,stand_aside,,,,,,,unknown,unknown,True,,
USDCHC,stand_aside,,,,,,,unknown,unknown,True,,
USDEUC,stand_aside,,,,,,,unknown,unknown,True,,
USDGBC,stand_aside,,,,,,,unknown,unknown,True,,
USDHKD,stand_aside,,,,,,,unknown,unknown,True,,
USDUSC,stand_aside,,,,,,,unknown,unknown,True,,
GBPCAD,stand_aside,16,14,18,12,0.33,2,neutral,buy,False,2,2
